month,Merchant_name,users,txn,amount,revenue
2020-01,Gmobile,0,0,0.0,0.0
2020-01,Mobifone,282,282,15214234.0,45642702.0
2020-01,Vietnamobile,42,42,1140000.0,4560000.0
2020-01,Viettel,513,513,29530000.0,59060000.0
2020-01,Vinaphone,163,163,7930000.0,31720000.0
2020-02,Gmobile,1,1,50000.0,200000.0
2020-02,Mobifone,278,280,13570000.0,40710000.0
2020-02,Vietnamobile,30,30,760000.0,3040000.0
2020-02,Viettel,480,480,29650000.0,59300000.0
2020-02,Vinaphone,181,181,8650000.0,34600000.0
2020-03,Gmobile,0,0,0.0,0.0
2020-03,Mobifone,320,320,17120000.0,51360000.0
2020-03,Vietnamobile,54,54,1530000.0,6120000.0
2020-03,Viettel,536,536,28640000.0,57280000.0
2020-03,Vinaphone,188,188,10910000.0,43640000.0
2020-04,Gmobile,0,0,0.0,0.0
2020-04,Mobifone,285,285,14150000.0,42450000.0
2020-04,Vietnamobile,40,40,1170000.0,4680000.0
2020-04,Viettel,505,505,26810000.0,53620000.0
2020-04,Vinaphone,197,197,12020000.0,48080000.0
2020-05,Gmobile,0,0,0.0,0.0
2020-05,Mobifone,305,305,15450000.0,46350000.0
2020-05,Vietnamobile,65,65,1980000.0,7920000.0
2020-05,Viettel,530,530,24990000.0,49980000.0
2020-05,Vinaphone,204,204,10530000.0,42120000.0
2020-06,Gmobile,0,0,0.0,0.0
2020-06,Mobifone,323,324,17780000.0,53340000.0
2020-06,Vietnamobile,53,53,1550000.0,6200000.0
2020-06,Viettel,542,543,26750000.0,53500000.0
2020-06,Vinaphone,198,198,12170000.0,48680000.0
2020-07,Gmobile,0,0,0.0,0.0
2020-07,Mobifone,310,312,15290000.0,45870000.0
2020-07,Vietnamobile,48,48,1890000.0,7560000.0
2020-07,Viettel,594,594,31140000.0,62280000.0
2020-07,Vinaphone,198,199,10620000.0,42480000.0
2020-08,Gmobile,1,1,20000.0,80000.0
2020-08,Mobifone,308,308,15490000.0,46470000.0
2020-08,Vietnamobile,53,53,2660000.0,10640000.0
2020-08,Viettel,607,607,31220000.0,62440000.0
2020-08,Vinaphone,184,184,10560000.0,42240000.0
2020-09,Gmobile,1,1,10000.0,40000.0
2020-09,Mobifone,324,324,17360000.0,52080000.0
2020-09,Vietnamobile,56,56,1840000.0,7360000.0
2020-09,Viettel,597,597,33010000.0,66020000.0
2020-09,Vinaphone,211,211,11180000.0,44720000.0
2020-10,Gmobile,0,0,0.0,0.0
2020-10,Mobifone,321,322,17930000.0,53790000.0
2020-10,Vietnamobile,44,44,1770000.0,7080000.0
2020-10,Viettel,622,622,29870000.0,59740000.0
2020-10,Vinaphone,223,223,12120000.0,48480000.0
2020-11,Gmobile,0,0,0.0,0.0
2020-11,Mobifone,352,352,15310000.0,45930000.0
2020-11,Vietnamobile,56,56,2160000.0,8640000.0
2020-11,Viettel,625,626,33920000.0,67840000.0
2020-11,Vinaphone,181,181,7880000.0,31520000.0
2020-12,Gmobile,0,0,0.0,0.0
2020-12,Mobifone,362,369,17240000.0,51720000.0
2020-12,Vietnamobile,70,70,3230000.0,12920000.0
2020-12,Viettel,623,624,32090000.0,64180000.0
2020-12,Vinaphone,191,192,8750000.0,35000000.0
